game_id,move_index,player,source,move,winner,board_before
tactical_0_win_four,0,O,human,160,O,.........X......X....................X...........X......................................O...O...............O..........O.........................O...X.........................O..............O..............O......X...O..X.....
tactical_0_win_four,0,O,human,70,O,.......O.X..........O................................................O.OOO.X.............X.................X..........................O..................X..................O.............O.......X.X............................
tactical_0_win_four,0,O,human,160,O,................X...................O.......X.......O..........X........................................O..X...........................X.............X.........O.OOO....................................O................O.X.....
tactical_0_win_four,0,O,human,64,O,.....X.O................O....................................OOO.O.........X.............X...........................X..O........................................X..........O.......X.......O...................X................
tactical_0_win_four,0,O,human,154,O,.....X......................X........X.................X....................O.........................O..O..........O..................X...O.............................O..............O..............O...............X..O...X..
tactical_0_win_four,0,O,human,70,O,..X...O..X...............O..............O..............O.............................O...X..................O..........O..O.........................O....................X.................X........X......................X.....
tactical_0_win_four,0,O,human,154,O,............................X.X.......O.............O..................X..................O..........................X.................X.............X.OOO.O................................................O..........X.O.......
tactical_0_win_four,0,O,human,64,O,.....X..O...X......O..............O..............O.........................X...O.........................O..........O...............O...O......................................X...........X....................X......X.........
tactical_1_block_open_three,0,O,human,55,O,.....O.........................O................O......................X..........O....X...............X..................O.........X.....X.O....................O.X.............................O...........................X...
tactical_1_block_open_three,0,O,human,49,O,.........O.................................O............O......X.............X....O........X..............................X.........O...........O.X....X.O...........................O...............................X...........
tactical_1_block_open_three,0,O,human,71,O,.................O.X...X............X..X.....X...O.....X..........................................................O.........................O........O....................X.....O.........O....................O.................
tactical_1_block_open_three,0,O,human,169,O,...X...........................O.............................X.O....................O.X.....X.........O..................X...............X....O..........X......................O................O.........................O.....
tactical_1_block_open_three,0,O,human,161,O,...........................O........O.............X.....O.......................O........O........................O..................................................X...O.....X..........X..X.......O.X...X.....................
tactical_1_block_open_three,0,O,human,175,O,...........X...............................O...........................O.X....X.O...........O.........X..............................X........O....X.............X......O............O.................................O.........
tactical_1_block_open_three,0,O,human,63,O,.....................X...X.O.......X..X..........X.....O...X..................................................O........................O........O.......................O.....X.............O........O...........................
tactical_1_block_open_three,0,O,human,153,O,.................O....................O.........O.....X....................O........O.........................O..........................................................X.....O...X.....X..X............X...X.O.................
tactical_2_block_four,0,O,human,130,O,......................................X......X......O............O..O.....X......O...OX.X.............X.............X...........................X......................O........................X...................X............
tactical_2_block_four,0,O,human,94,O,............X...................X........................O......................X...........................X.............X.............X.XO...O......X.....O..O............O......X......X......................................
tactical_2_block_four,0,O,human,66,O,..........X.............X.......X.....X.............X.X..............O..........X...................O.X.............O............O...............O..................................X..O.....................................X...
tactical_2_block_four,0,O,human,124,O,....................................X...............O......XX.....O..O......X.XO...O........X...............X...............................X....................................O....X.......................................X..
tactical_2_block_four,0,O,human,156,O,...........X..................X..O...................................................O.............O................O.............O.X.......X..................O............X.X.......X.....X...............X...............X....
tactical_2_block_four,0,O,human,68,O,....X...............X...............X.....X.......X.X............O..................X.......X.O.............O................O.............O...................................................O..X..................X...........
tactical_2_block_four,0,O,human,100,O,..X.......................................X....O....................................X...............................X...............X........O...OX.X......O..O.....XX......O...............X....................................
tactical_2_block_four,0,O,human,158,O,...X.....................................O..X..................................O...............O............O.............X.O...................X..........O..............X.X.............X.....X.......X.............X..........
tactical_3_block_open_three,0,O,human,95,O,...............................................X...............X.X.............X.......................................................X..............O.................X..................O............................XO......O
tactical_3_block_open_three,0,O,human,99,O,.........................................................X...........X.X.............X...............................................................X..............O...........X..........O......................O......OX......
tactical_3_block_open_three,0,O,human,83,O,....OX...................................X......X......X.............X...............X....X..............O.O......................................................................................................O..............
tactical_3_block_open_three,0,O,human,143,O,O........................................................................................................O.O............X........................X.............X........X......X...............X......................OX.........
tactical_3_block_open_three,0,O,human,81,O,.........XO......................X...............X......X........X.............X........................X............O.O........................................................................................................O
tactical_3_block_open_three,0,O,human,141,O,..............O......................................................................................................O.O..............X....X...............X.............X......X......X...................................XO....
tactical_3_block_open_three,0,O,human,129,O,O......OX............................O..................X.................O..............X.......................................................X.............X.X...............X...............................................
tactical_3_block_open_three,0,O,human,125,O,......XO......O......................O..........X...........O..............X...............................................................X.............X.X...........X.........................................................
tactical_4_block_four,0,O,human,107,O,....................................................................X....................O...............XX.XX....................................................................................................X..............
tactical_4_block_four,0,O,human,187,O,.....O........................................................................................X..............................................................X..............X.............................X..............X......X
tactical_4_block_four,0,O,human,117,O,..................................................................X........O.......................................XX.XX........................................................................................................X
tactical_4_block_four,0,O,human,107,O,X........................................................................................................XX.XX.......................................O........X..................................................................
tactical_4_block_four,0,O,human,117,O,..............X....................................................................................................XX.XX...............O....................X....................................................................
tactical_4_block_four,0,O,human,37,O,.......X......X.......X.............................X..............X........................................................X..........................................................................................O.........
tactical_4_block_four,0,O,human,187,O,.........O..........................................................................................X........................................................X..............X.............................X.......X......X.......
tactical_4_block_four,0,O,human,37,O,X......X..............X.............................X..............X..............................................................X........................................................................................O.....
tactical_5_extend_open_three,0,O,human,112,O,......................................................................O.............O.............O..............................................................................................................................
tactical_5_extend_open_three,0,O,human,112,O,................................................................................................................................O...............O...............O................................................................
tactical_5_extend_open_three,0,O,human,112,O,................................................................O...............O...............O................................................................................................................................
tactical_5_extend_open_three,0,O,human,112,O,..............................................................................................................................O.............O.............O......................................................................
tactical_5_extend_open_three,0,O,human,112,O,................................................................................................................................O...............O...............O................................................................
tactical_5_extend_open_three,0,O,human,112,O,................................................................O...............O...............O................................................................................................................................
tactical_5_extend_open_three,0,O,human,112,O,......................................................................O.............O.............O..............................................................................................................................
tactical_5_extend_open_three,0,O,human,112,O,..............................................................................................................................O.............O.............O......................................................................
tactical_6_block_broken_four,0,O,human,173,O,...............................................................................................................................................X..............X.............................X..............X.....................
tactical_6_block_broken_four,0,O,human,51,O,.....................X..............X.............................X..............X...............................................................................................................................................
tactical_6_block_broken_four,0,O,human,53,O,.......................X..............X.............................X..............X.............................................................................................................................................
tactical_6_block_broken_four,0,O,human,101,O,...................................................................................................XX.XX.........................................................................................................................
tactical_6_block_broken_four,0,O,human,93,O,...........................................................................................XX.XX.................................................................................................................................
tactical_6_block_broken_four,0,O,human,123,O,.........................................................................................................................XX.XX...................................................................................................
tactical_6_block_broken_four,0,O,human,171,O,.............................................................................................................................................X..............X.............................X..............X.......................
tactical_6_block_broken_four,0,O,human,131,O,.................................................................................................................................XX.XX...........................................................................................
tactical_7_block_open_three,0,O,human,21,O,.O.................................X..O..X..O....X.............X....................O......X.O......................................................X............................X.............................................O.
tactical_7_block_open_three,0,O,human,23,O,.............O................O..X..O..X...............X...............X........O....................O.X................................X..............................X...........................................O.............
tactical_7_block_open_three,0,O,human,103,O,.......................X.....O.......................O.X...............X...............X............................................O...........O................................X.....X...........O....X.....................O..
tactical_7_block_open_three,0,O,human,133,O,............O..O....X............X.......................X..........................O.................O............................................X.............X...........O.X...........................X.....O...............
tactical_7_block_open_three,0,O,human,201,O,.............O...........................................X..............................X................................X.O....................O........X...............X...............X..O..X..O................O.............
tactical_7_block_open_three,0,O,human,91,O,...............O.....X...........................X.O...........X.............X............................................O.................O..........................X.......................X............X....O..O............
tactical_7_block_open_three,0,O,human,121,O,..O.....................X....O...........X.....X................................O...........O............................................X...............X...............X.O.......................O.....X.......................
tactical_7_block_open_three,0,O,human,203,O,.O.............................................X............................X......................................................O.X......O....................X.............X....O..X..O..X.................................O.
